@relation 'Cleaned_data -ver 4'

@attribute LOC numeric
@attribute NBI numeric
@attribute LOCCOM numeric
@attribute NPM numeric
@attribute NSTAM numeric
@attribute NOF numeric
@attribute NSTAF numeric
@attribute NMC numeric
@attribute NMCI numeric
@attribute NMCE numeric
@attribute WMC numeric
@attribute AMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute MFA numeric
@attribute CBO numeric
@attribute IC numeric
@attribute CBM numeric
@attribute CA numeric
@attribute CE numeric
@attribute LCOM numeric
@attribute LCOM3 numeric
@attribute CAM numeric
@attribute DAM numeric
@attribute NPRIF numeric
@attribute NPRIM numeric
@attribute NPROM numeric
@attribute T-LOC numeric
@attribute T-NOT numeric
@attribute T-NOA numeric
@attribute T-NMC numeric
@attribute T-WMC numeric
@attribute T-AMC numeric
@attribute MUTATION_SCORE {0,1}

@data
273,625,273,17,2,15,8,118,76,42,21,21.43,46,2,0,0.37,13,2,2,0,13,152,0.69,0.2,1,15,0,3,48,1,2,21,2,27,0
193,578,193,10,0,1,0,71,33,38,12,31.75,41,1,0,0,6,0,0,2,5,64,0.55,0.35,1,1,2,0,90,6,8,36,7,21.43,0
200,924,0,2,1,9,9,197,11,186,7,91.14,56,1,0,0,10,0,0,0,10,15,1.11,0.47,1,9,4,0,67,1,1,60,2,60.5,0
208,562,208,17,17,0,0,75,30,45,18,18.11,52,1,0,0,1,0,0,0,1,153,2,0.19,0,0,1,0,123,6,14,62,9,22.33,0
312,672,312,10,6,2,1,26,13,13,16,28.62,26,1,0,0,2,0,0,0,2,100,0.8,0.19,1,2,6,0,39,1,1,14,2,37,0
528,1834,468,51,0,27,0,117,32,85,51,24.39,80,1,0,0,4,1,1,1,3,789,0.89,0.21,0,0,0,0,32,1,2,14,2,21,0
203,708,203,20,3,3,1,34,15,19,25,17.52,36,2,0,0.23,0,1,2,0,0,144,0.44,0.22,1,3,2,0,60,1,18,43,2,58.5,0
190,281,190,5,1,4,3,31,7,24,8,21,29,3,0,0.7,16,2,2,0,16,0,0.68,0.43,0.75,3,2,0,97,4,0,49,6,20,0
136,189,122,9,0,1,0,27,9,18,9,12.44,22,1,0,0,6,1,1,1,5,34,0.12,0.44,1,1,0,0,92,6,0,13,7,8.57,0
161,443,161,6,1,6,1,66,15,51,8,33.5,51,1,0,0,9,0,0,0,9,12,0.64,0.31,1,6,1,0,45,2,3,22,3,24,0
195,335,103,19,2,3,0,31,6,25,20,10.25,38,1,0,0,4,1,1,0,4,118,0.7,0.22,1,3,0,1,31,2,4,39,3,48.33,0
642,1662,642,29,0,22,0,243,143,100,45,24.93,105,1,0,0,29,0,0,1,28,802,0.9,0.13,1,22,5,0,359,23,26,354,26,41.12,0
1535,3748,1535,27,20,10,7,296,109,187,40,55.15,91,2,0,0.08,1,1,1,0,1,636,0.87,0.21,1,7,11,0,404,1,7,265,11,92.27,0
76,205,76,3,3,1,1,26,0,26,4,35,18,1,0,0,1,0,0,1,0,0,0.33,0.33,1,1,0,0,57,1,0,4,6,3,0
161,450,161,10,2,2,1,94,28,66,13,22.85,62,2,0,0.77,24,1,1,0,24,74,0.83,0.22,1,2,2,0,140,11,11,33,14,8.5,0
62,137,62,5,0,2,0,5,2,3,5,16.6,10,1,0,0,1,1,1,0,1,0,0.25,0.4,1,2,0,0,54,1,5,22,2,28.5,0
69,137,69,5,0,2,0,5,0,5,5,16.6,10,1,0,0,0,1,1,0,0,0,0.25,0.4,1,2,0,0,73,1,10,39,2,51,0
192,213,192,15,0,3,0,9,5,4,16,7.62,22,1,0,0,5,0,0,0,5,0,0.62,0.29,1,3,1,0,60,1,3,20,2,27.5,0
184,434,184,18,0,1,0,56,23,33,21,11.81,49,1,0,0,17,0,0,16,1,100,0.05,0.22,1,1,1,0,73,6,10,27,7,13.29,0
